,C-KC443457,C-KC443202,C-KC178781,C-KC443633,C-KC443325,C-KC443765,C-MH170019,C-LC514516,C-LC514505,C-LC514494,C-PX212613,C-KJ721711,C-KU248407,C-KU248396,C-KU199272,C-MW715608,C-MG670699,C-MG670701,C-MG670696,C-LC105582,C-MN479423,C-PP861741,C-OP850468,C-PP861731,B-KC443369,B-KC443224,B-KJ639025,B-KJ639014,B-PX212549,B-OP850475,B-OP850472,B-OP850473,B-OP850470,B-OP850474,B-LC514472,B-LC514483,B-MZ546117,B-KX880419,B-KU550278,B-KU550275,B-KU550277,B-PX212551,B-LC541987,B-LC228328,B-LC228317,B-LC260268,B-MH704723,B-MH704722,B-LC469461,B-LC260266,B-KX880430,B-MH569755,B-LC325465,B-MF997037,B-LC228306,B-LC260272,B-MH569760,B-KU550276,B-KU550274,B-KU870387,B-KU870409,B-MT732500,B-LC386067,B-MT723919,B-MT410497,B-LC066641,B-LC066663,B-LC066652,B-LC169964,B-LC169953,B-LC169942,B-AB975754,B-AB975753,B-AB975725,B-AB975723,B-AB848009,B-LC751490,B-LC751460,B-KY616887,B-MG599526,B-MG599525,B-KU059790,B-MG670685,B-MG670702,B-MG670698,B-KU059779,B-KU059768,B-MG670694,B-LC086727,B-LC086716,A-KU356576,A-MG181889,A-MG181768,A-LC105571,A-KJ752163,A-HQ657140,A-KC443009,A-HQ641357,A-KF716382,A-KF716380,A-KC442965,A-KC442976,A-KC178786,A-KC443347,A-MG181658,A-KR705203,A-KJ721708,A-PX212611,A-OP717289,A-OP717286,A-LC569217,A-LC228372,A-LC228339,A-LC569172,A-LC569200,A-LC477510,A-LC228350,A-KC834705,A-PX212648,A-KJ919519,A-KC443358,A-MN479346,A-MN479342,A-MN479334,A-MN479333,A-MN479287,A-KJ721717,A-KJ721713,A-PX212628,A-LC086804,A-LC086738,A-LC086793,A-LC086782,A-KJ919584,A-PP861743,A-PP861797,A-OP850469,A-KF716374,A-LC169986,A-LC169975
C-PP861741,91.14,91.10,91.22,91.38,91.38,91.38,97.88,97.80,97.80,97.84,97.62,98.16,98.88,98.92,98.88,98.76,98.80,98.84,98.96,98.88,99.56,,99.84,99.84,87.54,87.43,87.19,87.35,87.09,87.07,87.23,87.11,87.11,87.15,86.99,87.15,87.03,87.23,87.19,87.19,87.23,87.43,87.35,87.35,87.31,87.58,87.39,87.31,87.62,87.54,87.54,87.31,87.35,87.35,87.35,87.39,87.54,87.35,87.35,87.23,87.35,87.31,87.31,87.23,87.35,87.47,87.50,87.47,87.43,87.47,87.47,87.34,87.38,87.35,87.54,87.54,87.54,87.54,87.54,87.50,87.54,87.58,87.58,87.54,87.50,87.58,87.54,87.58,87.58,87.58,90.06,87.23,87.15,87.43,87.11,87.27,87.58,87.43,87.74,87.78,87.62,87.82,87.90,87.90,87.27,87.58,87.50,87.50,87.58,87.50,87.35,87.43,87.39,87.39,87.47,87.47,87.47,87.70,87.56,87.58,87.62,87.23,87.27,87.23,87.23,87.23,87.27,87.19,87.70,87.54,87.66,87.74,87.58,87.70,87.43,87.47,87.62,87.39,87.82,87.86
C-OP850468,91.22,91.18,91.30,91.46,91.46,91.46,97.96,97.80,97.88,97.92,97.70,98.24,99.04,99.00,98.96,98.84,98.88,98.92,99.04,98.96,99.64,99.84,,99.92,87.54,87.43,87.19,87.35,87.09,87.07,87.23,87.11,87.11,87.15,86.99,87.15,87.03,87.23,87.19,87.19,87.23,87.43,87.35,87.35,87.31,87.58,87.39,87.31,87.62,87.54,87.54,87.31,87.35,87.35,87.35,87.39,87.54,87.35,87.35,87.23,87.35,87.31,87.31,87.23,87.35,87.47,87.50,87.47,87.43,87.47,87.47,87.34,87.38,87.35,87.54,87.54,87.54,87.54,87.54,87.50,87.54,87.58,87.58,87.54,87.50,87.58,87.54,87.58,87.58,87.58,90.18,87.23,87.15,87.43,87.11,87.27,87.66,87.54,87.74,87.78,87.62,87.82,87.90,87.90,87.27,87.58,87.50,87.50,87.58,87.50,87.35,87.43,87.39,87.39,87.47,87.47,87.47,87.70,87.56,87.58,87.62,87.23,87.27,87.23,87.23,87.23,87.27,87.19,87.70,87.54,87.66,87.74,87.58,87.70,87.43,87.47,87.62,87.39,87.82,87.86
C-PP861731,91.22,91.18,91.30,91.46,91.46,91.46,97.96,97.80,97.88,97.92,97.70,98.24,98.96,99.00,98.96,98.84,98.88,98.92,99.04,98.96,99.64,99.84,99.92,,87.54,87.43,87.19,87.35,87.09,87.07,87.23,87.11,87.11,87.15,86.99,87.15,87.03,87.23,87.19,87.19,87.23,87.43,87.35,87.35,87.31,87.58,87.39,87.31,87.62,87.54,87.54,87.31,87.35,87.35,87.35,87.39,87.54,87.35,87.35,87.23,87.35,87.31,87.31,87.23,87.35,87.47,87.50,87.47,87.43,87.47,87.47,87.34,87.38,87.35,87.54,87.54,87.54,87.54,87.54,87.50,87.54,87.58,87.58,87.54,87.50,87.58,87.54,87.58,87.58,87.58,90.14,87.23,87.15,87.43,87.11,87.27,87.66,87.50,87.74,87.78,87.62,87.82,87.90,87.90,87.27,87.58,87.50,87.50,87.58,87.50,87.35,87.43,87.39,87.39,87.47,87.47,87.47,87.70,87.56,87.58,87.62,87.23,87.27,87.23,87.23,87.23,87.27,87.19,87.70,87.54,87.66,87.74,87.58,87.70,87.43,87.47,87.62,87.39,87.82,87.86
B-KC443369,87.90,87.86,87.58,87.78,87.78,87.78,87.62,87.50,87.58,87.58,87.60,87.58,87.39,87.39,87.54,87.43,87.27,87.31,87.43,87.66,87.39,87.54,87.54,87.54,,99.88,98.56,98.68,97.98,97.84,97.84,97.88,97.88,97.92,97.92,98.08,98.12,98.16,98.28,98.28,98.24,98.24,98.20,98.28,98.24,98.32,98.44,98.48,98.68,98.52,98.52,98.36,98.48,98.36,98.44,98.48,98.64,98.52,98.52,98.32,98.44,98.32,98.32,98.28,98.36,98.72,98.68,98.72,98.60,98.64,98.64,98.62,98.59,98.66,98.64,98.64,98.48,98.48,98.48,98.76,98.80,98.52,98.56,98.56,98.60,98.60,98.64,98.68,98.68,98.68,94.69,96.85,96.77,97.09,97.01,96.89,96.85,96.93,97.01,96.97,97.01,97.13,97.13,96.93,97.13,97.49,97.21,98.00,98.24,98.24,98.04,98.12,98.12,98.16,98.16,98.16,98.16,98.64,98.62,98.68,98.64,98.40,98.36,98.40,98.40,98.40,98.56,98.40,97.80,98.04,98.00,98.16,98.08,98.20,97.52,97.56,97.64,98.04,98.04,98.00
B-KC443224,87.78,87.74,87.47,87.66,87.66,87.66,87.50,87.39,87.47,87.47,87.49,87.47,87.27,87.27,87.43,87.31,87.15,87.19,87.31,87.54,87.27,87.43,87.43,87.43,99.88,,98.44,98.56,97.86,97.72,97.72,97.76,97.76,97.80,97.80,97.96,98.00,98.04,98.16,98.16,98.12,98.12,98.08,98.16,98.12,98.20,98.32,98.36,98.56,98.40,98.40,98.24,98.36,98.24,98.32,98.36,98.52,98.40,98.40,98.20,98.32,98.20,98.20,98.16,98.24,98.60,98.56,98.60,98.48,98.52,98.52,98.49,98.47,98.54,98.52,98.52,98.36,98.36,98.36,98.64,98.68,98.40,98.44,98.44,98.48,98.48,98.52,98.56,98.56,98.56,94.57,96.73,96.65,96.97,96.89,96.77,96.73,96.81,96.89,96.85,96.89,97.01,97.01,96.81,97.01,97.37,97.09,97.88,98.12,98.12,97.92,98.00,98.00,98.04,98.04,98.04,98.04,98.52,98.50,98.56,98.52,98.28,98.24,98.28,98.28,98.28,98.44,98.28,97.68,97.92,97.88,98.04,97.96,98.08,97.45,97.49,97.56,97.92,97.92,97.88
B-KJ639025,87.66,87.62,87.35,87.54,87.54,87.54,87.27,87.23,87.23,87.23,87.25,87.23,87.03,87.03,87.19,87.07,86.91,86.95,87.07,87.31,87.03,87.19,87.19,87.19,98.56,98.44,,99.48,98.18,98.04,98.04,98.08,98.08,98.12,98.12,98.28,98.32,98.36,98.48,98.48,98.44,98.44,98.48,98.56,98.52,98.60,98.68,98.60,98.96,98.80,98.80,98.56,98.68,98.56,98.64,98.68,98.84,98.72,98.72,98.52,98.64,98.60,98.60,98.56,98.64,99.00,98.96,99.00,98.88,98.92,98.92,98.90,98.87,98.95,98.92,98.92,98.76,98.76,98.76,99.04,99.08,98.80,98.84,98.84,98.88,98.88,98.92,98.96,98.96,98.96,94.09,96.09,96.01,96.41,96.33,96.17,96.17,96.17,96.17,96.13,96.17,96.29,96.29,96.25,96.13,96.57,96.37,97.25,97.49,97.41,97.21,97.29,97.29,97.33,97.33,97.33,97.33,97.88,97.86,97.92,97.88,97.56,97.52,97.56,97.56,97.56,97.80,97.64,96.97,97.21,97.17,97.41,97.25,97.37,96.73,96.77,96.85,97.21,97.21,97.17
B-KJ639014,87.82,87.78,87.50,87.70,87.70,87.70,87.43,87.39,87.39,87.39,87.31,87.31,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.68,98.56,99.48,,98.30,98.16,98.16,98.20,98.20,98.24,98.24,98.40,98.44,98.48,98.60,98.60,98.56,98.56,98.60,98.68,98.64,98.72,98.80,98.72,99.08,98.92,98.92,98.68,98.80,98.68,98.76,98.80,98.96,98.84,98.84,98.64,98.76,98.72,98.72,98.68,98.76,99.12,99.08,99.12,99.00,99.04,99.04,99.02,98.99,99.07,99.04,99.04,98.88,98.88,98.88,99.16,99.20,98.92,98.96,98.96,99.00,99.00,99.04,99.08,99.08,99.08,94.29,96.29,96.21,96.61,96.53,96.33,96.37,96.45,96.37,96.33,96.37,96.49,96.49,96.37,96.33,96.69,96.49,97.37,97.60,97.52,97.33,97.41,97.41,97.45,97.45,97.45,97.45,98.00,97.98,98.04,98.00,97.72,97.68,97.72,97.72,97.72,97.92,97.76,97.09,97.33,97.29,97.52,97.37,97.49,96.85,96.89,96.97,97.33,97.33,97.29
B-PX212549,87.86,87.82,87.47,87.66,87.66,87.66,87.25,87.21,87.21,87.21,87.15,87.13,86.93,86.93,87.09,86.97,86.81,86.85,86.97,87.21,86.93,87.09,87.09,87.09,97.98,97.86,98.18,98.30,,99.50,99.50,99.54,99.54,99.58,99.42,99.58,99.54,99.58,99.70,99.70,99.66,99.02,98.62,98.70,98.66,98.70,99.14,99.10,99.06,98.90,98.90,99.06,99.10,99.06,99.22,99.18,99.26,99.22,99.22,99.10,99.14,98.46,98.46,98.34,98.42,98.86,98.82,98.86,98.66,98.70,98.70,98.72,98.73,98.76,98.78,98.78,98.62,98.62,98.62,98.82,98.86,98.58,98.70,98.62,98.66,98.66,98.70,98.74,98.74,98.74,93.79,95.67,95.59,95.91,95.83,95.59,95.59,95.75,95.67,95.63,95.67,95.79,95.79,95.83,95.71,96.07,95.79,96.72,97.05,96.97,96.69,96.77,96.77,96.81,96.81,96.81,96.81,97.39,97.45,97.43,97.39,97.07,97.03,97.07,97.07,97.07,97.31,97.15,96.50,96.77,96.69,96.89,96.73,96.85,96.25,96.25,96.33,96.69,96.69,96.65
B-OP850475,87.74,87.70,87.35,87.54,87.54,87.54,87.23,87.11,87.11,87.11,87.13,87.11,86.91,86.91,87.07,86.95,86.79,86.83,86.95,87.19,86.91,87.07,87.07,87.07,97.84,97.72,98.04,98.16,99.50,,99.84,99.88,99.88,99.92,99.28,99.44,99.40,99.44,99.56,99.56,99.52,98.80,98.48,98.56,98.52,98.56,99.00,98.96,98.92,98.76,98.76,99.00,98.96,99.00,99.08,99.04,99.12,99.08,99.08,98.96,99.00,98.32,98.32,98.20,98.28,98.72,98.68,98.72,98.52,98.56,98.56,98.58,98.59,98.62,98.64,98.64,98.48,98.48,98.48,98.68,98.72,98.44,98.56,98.48,98.52,98.52,98.56,98.60,98.60,98.60,93.57,95.49,95.41,95.73,95.65,95.53,95.49,95.57,95.57,95.53,95.49,95.61,95.61,95.73,95.69,95.89,95.61,96.49,96.89,96.81,96.53,96.61,96.61,96.65,96.65,96.65,96.65,97.21,97.19,97.25,97.21,96.89,96.85,96.89,96.89,96.89,97.13,96.97,96.29,96.61,96.49,96.73,96.57,96.69,96.09,96.09,96.17,96.53,96.53,96.49
B-OP850472,87.74,87.70,87.43,87.54,87.54,87.54,87.31,87.27,87.27,87.27,87.13,87.11,87.07,87.07,87.23,87.11,86.95,86.99,87.11,87.35,87.07,87.23,87.23,87.23,97.84,97.72,98.04,98.16,99.50,99.84,,99.88,99.88,99.92,99.28,99.44,99.40,99.44,99.56,99.56,99.52,98.80,98.48,98.56,98.52,98.56,99.00,98.96,98.92,98.76,98.76,99.00,98.96,99.00,99.08,99.04,99.20,99.08,99.08,98.96,99.00,98.40,98.40,98.28,98.36,98.72,98.68,98.72,98.60,98.64,98.64,98.58,98.59,98.62,98.64,98.64,98.48,98.48,98.48,98.68,98.72,98.44,98.56,98.48,98.52,98.52,98.56,98.60,98.60,98.60,93.65,95.49,95.41,95.73,95.65,95.53,95.49,95.57,95.57,95.53,95.49,95.61,95.61,95.73,95.69,95.89,95.69,96.49,96.89,96.81,96.53,96.61,96.61,96.65,96.65,96.65,96.65,97.21,97.19,97.25,97.21,96.89,96.85,96.89,96.89,96.89,97.13,96.97,96.29,96.61,96.49,96.73,96.57,96.69,96.09,96.09,96.17,96.53,96.69,96.65
B-OP850473,87.78,87.74,87.39,87.58,87.58,87.58,87.19,87.15,87.15,87.15,87.17,87.15,86.95,86.95,87.11,86.99,86.83,86.87,86.99,87.23,86.95,87.11,87.11,87.11,97.88,97.76,98.08,98.20,99.54,99.88,99.88,,99.92,99.96,99.32,99.48,99.44,99.48,99.60,99.60,99.56,98.84,98.52,98.60,98.56,98.60,99.04,99.00,98.96,98.80,98.80,99.04,99.00,99.04,99.12,99.08,99.16,99.12,99.12,99.00,99.04,98.36,98.36,98.24,98.32,98.76,98.72,98.76,98.56,98.60,98.60,98.62,98.63,98.66,98.68,98.68,98.52,98.52,98.52,98.72,98.76,98.48,98.60,98.52,98.56,98.56,98.60,98.64,98.64,98.64,93.61,95.53,95.45,95.77,95.69,95.57,95.53,95.61,95.61,95.57,95.53,95.65,95.65,95.77,95.73,95.93,95.65,96.53,96.93,96.85,96.57,96.65,96.65,96.69,96.69,96.69,96.69,97.25,97.23,97.29,97.25,96.93,96.89,96.93,96.93,96.93,97.17,97.01,96.33,96.65,96.53,96.77,96.61,96.73,96.13,96.13,96.21,96.57,96.57,96.53
B-OP850470,87.78,87.74,87.39,87.58,87.58,87.58,87.19,87.15,87.15,87.15,87.17,87.15,86.95,86.95,87.11,86.99,86.83,86.87,86.99,87.23,86.95,87.11,87.11,87.11,97.88,97.76,98.08,98.20,99.54,99.88,99.88,99.92,,99.96,99.32,99.48,99.44,99.48,99.60,99.60,99.56,98.84,98.52,98.60,98.56,98.60,99.04,99.00,98.96,98.80,98.80,99.04,99.00,99.04,99.12,99.08,99.16,99.12,99.12,99.00,99.04,98.36,98.36,98.24,98.32,98.76,98.72,98.76,98.56,98.60,98.60,98.62,98.63,98.66,98.68,98.68,98.52,98.52,98.52,98.72,98.76,98.48,98.60,98.52,98.56,98.56,98.60,98.64,98.64,98.64,93.61,95.53,95.45,95.77,95.69,95.57,95.53,95.61,95.61,95.57,95.53,95.65,95.65,95.77,95.73,95.93,95.65,96.53,96.93,96.85,96.57,96.65,96.65,96.69,96.69,96.69,96.69,97.25,97.23,97.29,97.25,96.93,96.89,96.93,96.93,96.93,97.17,97.05,96.33,96.65,96.53,96.77,96.61,96.73,96.13,96.13,96.21,96.57,96.57,96.53
B-OP850474,87.82,87.78,87.43,87.62,87.62,87.62,87.23,87.19,87.19,87.19,87.21,87.19,86.99,86.99,87.15,87.03,86.87,86.91,87.03,87.27,86.99,87.15,87.15,87.15,97.92,97.80,98.12,98.24,99.58,99.92,99.92,99.96,99.96,,99.36,99.52,99.48,99.52,99.64,99.64,99.60,98.88,98.56,98.64,98.60,98.64,99.08,99.04,99.00,98.84,98.84,99.08,99.04,99.08,99.16,99.12,99.20,99.16,99.16,99.04,99.08,98.40,98.40,98.28,98.36,98.80,98.76,98.80,98.60,98.64,98.64,98.66,98.67,98.70,98.72,98.72,98.56,98.56,98.56,98.76,98.80,98.52,98.64,98.56,98.60,98.60,98.64,98.68,98.68,98.68,93.65,95.57,95.49,95.81,95.73,95.61,95.57,95.65,95.65,95.61,95.57,95.69,95.69,95.81,95.77,95.97,95.69,96.57,96.97,96.89,96.61,96.69,96.69,96.73,96.73,96.73,96.73,97.29,97.27,97.33,97.29,96.97,96.93,96.97,96.97,96.97,97.21,97.05,96.37,96.69,96.57,96.81,96.65,96.77,96.17,96.17,96.25,96.61,96.61,96.57
B-LC514472,87.50,87.47,87.19,87.39,87.39,87.39,87.15,87.11,87.11,87.11,87.13,87.03,86.83,86.83,86.99,86.87,86.71,86.75,86.87,87.11,86.83,86.99,86.99,86.99,97.92,97.80,98.12,98.24,99.42,99.28,99.28,99.32,99.32,99.36,,99.52,99.48,99.52,99.64,99.64,99.60,98.88,98.52,98.60,98.56,98.64,99.08,99.04,99.00,98.84,98.84,99.00,99.04,99.00,99.16,99.12,99.20,99.16,99.16,99.04,99.08,98.40,98.40,98.28,98.36,98.80,98.76,98.80,98.60,98.64,98.64,98.58,98.59,98.62,98.64,98.64,98.48,98.48,98.48,98.76,98.80,98.52,98.64,98.56,98.60,98.60,98.64,98.68,98.68,98.68,93.73,95.57,95.49,95.81,95.73,95.53,95.57,95.65,95.57,95.53,95.57,95.69,95.69,95.73,95.61,95.97,95.69,96.65,97.05,96.97,96.69,96.77,96.77,96.81,96.81,96.81,96.81,97.29,97.27,97.33,97.29,97.05,97.01,97.05,97.05,97.05,97.29,97.13,96.45,96.77,96.65,96.89,96.73,96.85,96.17,96.17,96.25,96.69,96.69,96.65
B-LC514483,87.82,87.78,87.50,87.70,87.70,87.70,87.31,87.27,87.27,87.27,87.25,87.19,86.99,86.99,87.15,87.03,86.87,86.91,87.03,87.27,86.99,87.15,87.15,87.15,98.08,97.96,98.28,98.40,99.58,99.44,99.44,99.48,99.48,99.52,99.52,,99.64,99.68,99.80,99.80,99.76,99.04,98.68,98.76,98.72,98.80,99.24,99.20,99.16,99.00,99.00,99.16,99.20,99.16,99.32,99.28,99.36,99.32,99.32,99.20,99.24,98.56,98.56,98.44,98.52,98.96,98.92,98.96,98.76,98.80,98.80,98.78,98.79,98.82,98.80,98.80,98.64,98.64,98.64,98.92,98.96,98.68,98.80,98.72,98.76,98.76,98.80,98.84,98.84,98.84,93.81,95.73,95.65,95.97,95.89,95.69,95.65,95.81,95.73,95.69,95.73,95.85,95.85,95.89,95.77,96.13,95.85,96.73,97.13,97.05,96.77,96.85,96.85,96.89,96.89,96.89,96.89,97.45,97.43,97.49,97.45,97.13,97.09,97.13,97.13,97.13,97.37,97.21,96.53,96.85,96.81,96.97,96.81,96.93,96.25,96.25,96.33,96.77,96.77,96.73
B-MZ546117,87.70,87.66,87.39,87.58,87.58,87.58,87.19,87.15,87.15,87.15,87.09,87.07,86.87,86.87,87.03,86.91,86.75,86.79,86.91,87.15,86.87,87.03,87.03,87.03,98.12,98.00,98.32,98.44,99.54,99.40,99.40,99.44,99.44,99.48,99.48,99.64,,99.72,99.84,99.84,99.80,99.08,98.72,98.80,98.76,98.84,99.20,99.24,99.20,99.04,99.04,99.20,99.24,99.20,99.28,99.32,99.40,99.36,99.36,99.24,99.28,98.60,98.60,98.48,98.56,99.00,98.96,99.00,98.80,98.84,98.84,98.78,98.79,98.82,98.84,98.84,98.68,98.68,98.68,98.96,99.00,98.72,98.84,98.76,98.80,98.80,98.84,98.88,98.88,98.88,93.85,95.77,95.69,96.01,95.93,95.73,95.69,95.85,95.77,95.73,95.77,95.89,95.89,95.85,95.81,96.17,95.89,96.77,97.17,97.09,96.81,96.89,96.89,96.93,96.93,96.93,96.93,97.49,97.47,97.52,97.49,97.25,97.21,97.25,97.25,97.25,97.41,97.33,96.57,96.89,96.77,97.01,96.85,96.97,96.29,96.29,96.37,96.81,96.81,96.77
B-KX880419,87.82,87.78,87.50,87.70,87.70,87.70,87.39,87.35,87.35,87.35,87.29,87.35,87.07,87.07,87.23,87.11,86.95,86.99,87.11,87.27,87.07,87.23,87.23,87.23,98.16,98.04,98.36,98.48,99.58,99.44,99.44,99.48,99.48,99.52,99.52,99.68,99.72,,99.88,99.88,99.84,99.12,98.76,98.84,98.80,98.88,99.24,99.28,99.24,99.08,99.08,99.24,99.28,99.24,99.32,99.36,99.44,99.40,99.40,99.28,99.32,98.64,98.64,98.52,98.60,99.04,99.00,99.04,98.84,98.88,98.88,98.90,98.91,98.95,98.96,98.96,98.80,98.80,98.80,99.00,99.04,98.84,98.96,98.88,98.92,98.92,98.96,99.00,99.00,99.00,94.05,95.89,95.81,96.21,96.13,95.85,95.89,95.97,95.89,95.85,95.89,96.01,96.01,95.97,95.93,96.29,96.01,96.89,97.29,97.21,96.93,97.01,97.01,97.05,97.05,97.05,97.05,97.64,97.58,97.64,97.60,97.29,97.25,97.29,97.29,97.29,97.52,97.37,96.69,97.01,96.89,97.13,96.97,97.09,96.41,96.41,96.49,96.93,96.93,96.89
B-KU550278,87.78,87.74,87.47,87.66,87.66,87.66,87.35,87.31,87.31,87.31,87.25,87.23,87.03,87.03,87.19,87.07,86.91,86.95,87.07,87.31,87.03,87.19,87.19,87.19,98.28,98.16,98.48,98.60,99.70,99.56,99.56,99.60,99.60,99.64,99.64,99.80,99.84,99.88,,100.00,99.96,99.24,98.88,98.96,98.92,99.00,99.36,99.40,99.36,99.20,99.20,99.36,99.40,99.36,99.44,99.48,99.56,99.52,99.52,99.40,99.44,98.76,98.76,98.64,98.72,99.16,99.12,99.16,98.96,99.00,99.00,98.94,98.95,98.99,99.00,99.00,98.84,98.84,98.84,99.12,99.16,98.88,99.00,98.92,98.96,98.96,99.00,99.04,99.04,99.04,94.01,95.93,95.85,96.17,96.09,95.89,95.85,96.01,95.93,95.89,95.93,96.05,96.05,96.01,95.97,96.33,96.05,96.93,97.33,97.25,96.97,97.05,97.05,97.09,97.09,97.09,97.09,97.64,97.62,97.68,97.64,97.33,97.29,97.33,97.33,97.33,97.56,97.41,96.73,97.05,96.93,97.17,97.01,97.13,96.45,96.45,96.53,96.97,96.97,96.93
B-KU550275,87.78,87.74,87.47,87.66,87.66,87.66,87.35,87.31,87.31,87.31,87.25,87.23,87.03,87.03,87.19,87.07,86.91,86.95,87.07,87.31,87.03,87.19,87.19,87.19,98.28,98.16,98.48,98.60,99.70,99.56,99.56,99.60,99.60,99.64,99.64,99.80,99.84,99.88,100.00,,99.96,99.24,98.88,98.96,98.92,99.00,99.36,99.40,99.36,99.20,99.20,99.36,99.40,99.36,99.44,99.48,99.56,99.52,99.52,99.40,99.44,98.76,98.76,98.64,98.72,99.16,99.12,99.16,98.96,99.00,99.00,98.94,98.95,98.99,99.00,99.00,98.84,98.84,98.84,99.12,99.16,98.88,99.00,98.92,98.96,98.96,99.00,99.04,99.04,99.04,94.01,95.93,95.85,96.17,96.09,95.89,95.85,96.01,95.93,95.89,95.93,96.05,96.05,96.01,95.97,96.33,96.05,96.93,97.33,97.25,96.97,97.05,97.05,97.09,97.09,97.09,97.09,97.64,97.62,97.68,97.64,97.33,97.29,97.33,97.33,97.33,97.56,97.41,96.73,97.05,96.93,97.17,97.01,97.13,96.45,96.45,96.53,96.97,96.97,96.93
B-KU550277,87.82,87.78,87.50,87.70,87.70,87.70,87.39,87.35,87.35,87.35,87.29,87.27,87.07,87.07,87.23,87.11,86.95,86.99,87.11,87.35,87.07,87.23,87.23,87.23,98.24,98.12,98.44,98.56,99.66,99.52,99.52,99.56,99.56,99.60,99.60,99.76,99.80,99.84,99.96,99.96,,99.20,98.84,98.92,98.88,98.96,99.32,99.36,99.32,99.16,99.16,99.32,99.36,99.32,99.40,99.44,99.52,99.48,99.48,99.36,99.40,98.72,98.72,98.60,98.68,99.12,99.08,99.12,98.92,98.96,98.96,98.90,98.91,98.95,98.96,98.96,98.80,98.80,98.80,99.16,99.20,98.92,99.04,98.96,99.00,99.00,99.04,99.08,99.08,99.08,93.97,95.89,95.81,96.13,96.05,95.85,95.81,95.97,95.89,95.85,95.89,96.01,96.01,96.05,95.93,96.29,96.01,96.89,97.29,97.21,96.93,97.01,97.01,97.05,97.05,97.05,97.05,97.60,97.58,97.64,97.60,97.29,97.25,97.29,97.29,97.29,97.52,97.37,96.69,97.01,96.89,97.13,96.97,97.09,96.41,96.41,96.49,96.93,96.93,96.89
B-PX212551,87.78,87.74,87.47,87.66,87.66,87.66,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.15,87.19,87.23,87.47,87.19,87.43,87.43,87.43,98.24,98.12,98.44,98.56,99.02,98.80,98.80,98.84,98.84,98.88,98.88,99.04,99.08,99.12,99.24,99.24,99.20,,98.84,98.92,98.88,98.96,99.24,99.36,99.32,99.16,99.16,99.32,99.36,99.32,99.40,99.44,99.52,99.48,99.48,99.28,99.40,98.64,98.64,98.60,98.68,99.12,99.08,99.12,98.92,98.96,98.96,98.98,98.99,99.03,99.04,99.04,98.88,98.88,98.88,99.08,99.12,98.84,98.88,98.88,98.92,98.92,98.96,99.00,99.00,99.00,94.01,95.85,95.77,96.09,96.01,95.85,95.93,96.01,96.01,95.97,96.01,96.13,96.13,96.01,95.97,96.41,96.13,96.98,97.31,97.23,96.95,97.03,97.03,97.07,97.07,97.07,97.07,97.64,97.68,97.68,97.64,97.33,97.29,97.33,97.33,97.33,97.56,97.41,96.74,97.03,96.95,97.15,96.99,97.11,96.51,96.51,96.63,97.07,96.99,96.95
B-LC541987,87.74,87.70,87.50,87.70,87.70,87.70,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.20,98.08,98.48,98.60,98.62,98.48,98.48,98.52,98.52,98.56,98.52,98.68,98.72,98.76,98.88,98.88,98.84,98.84,,99.92,99.88,99.00,98.96,99.00,99.36,99.20,99.20,98.96,99.08,99.04,99.04,99.16,99.24,99.12,99.12,98.92,99.04,98.68,98.68,98.64,98.72,99.08,99.04,99.08,98.96,99.00,99.00,98.98,98.99,99.03,99.04,99.04,98.88,98.88,98.88,99.12,99.16,98.88,98.92,98.92,98.96,98.96,99.00,99.04,99.04,99.04,93.93,95.85,95.77,96.09,96.01,95.97,95.85,95.93,95.93,95.89,95.93,96.05,96.13,96.01,95.89,96.41,96.13,96.93,97.25,97.17,96.97,97.13,97.05,97.09,97.09,97.09,97.09,97.64,97.62,97.68,97.64,97.41,97.37,97.41,97.41,97.41,97.56,97.41,96.73,97.05,96.93,97.17,97.01,97.13,96.57,96.61,96.69,97.05,97.13,97.09
B-LC228328,87.82,87.78,87.50,87.70,87.70,87.70,87.43,87.39,87.39,87.39,87.41,87.39,87.19,87.19,87.35,87.23,87.07,87.11,87.23,87.47,87.19,87.35,87.35,87.35,98.28,98.16,98.56,98.68,98.70,98.56,98.56,98.60,98.60,98.64,98.60,98.76,98.80,98.84,98.96,98.96,98.92,98.92,99.92,,99.96,99.08,99.04,99.08,99.44,99.28,99.28,99.04,99.16,99.12,99.12,99.24,99.32,99.20,99.20,99.00,99.12,98.76,98.76,98.72,98.80,99.16,99.12,99.16,99.04,99.08,99.08,99.06,99.07,99.11,99.12,99.12,98.96,98.96,98.96,99.20,99.24,98.96,99.00,99.00,99.04,99.04,99.08,99.12,99.12,99.12,94.01,95.93,95.85,96.17,96.09,96.05,95.93,96.01,96.01,95.97,96.01,96.13,96.21,96.09,95.97,96.49,96.21,97.01,97.33,97.25,97.05,97.21,97.13,97.17,97.17,97.17,97.17,97.72,97.70,97.76,97.72,97.49,97.45,97.49,97.49,97.49,97.64,97.49,96.81,97.13,97.01,97.25,97.09,97.21,96.65,96.69,96.77,97.13,97.21,97.17
