,A-MT633431,B-JX195088,B-EF990707,B-JF490651,B-KJ753438,B-KT988208,B-JF490916,B-LC228384,B-KF371984,B-OP850489,B-PP861406,B-OP850491,B-JN706531,B-JQ837878,B-MT732501,B-LC386068,B-MZ066016,B-KJ752983,B-JN258371,B-MT410498,B-JN706530,B-MT723920,B-LC066642,B-LC086761,B-KX362878,B-LC086750,B-LC169965,B-LC169954,B-LC169943,B-LC086739,B-LC066664,B-LC066653,B-PX211305,B-MH704725,B-LC325461,B-LC260222,B-KX880426,B-MG652356,B-MG652352,B-MG652355,B-LC541983,B-LC228329,B-LC228318,B-KU059791,B-KU059769,B-KU059780,B-MG652348,B-MG652339,B-LC086728,B-LC086717,B-PX211226,B-OP850488,B-OP850487,B-OP850486,B-OP850485,B-OP850483,B-LC514495,B-LC514473,B-PX211228,B-MH704724,B-LC228307,B-MF997038,B-MW715609,B-KU550282,B-KU550280,B-KU870388,B-KU870410,B-KX880415,B-MZ546113,B-LC514484,B-KU550284,B-KU550283,B-KU550281,B-MH569766,B-MH569765,B-LC260228,B-MG599530,B-MG599529,B-LC430887,B-AB975550,B-AB975549,B-AB975466,B-AB975472,B-KY616888,B-AB848005,B-LC751042,B-LC751012,B-MG181659,A-EF672598,B-MZ027446,B-MZ027424,A-MG652331,A-KJ919614,A-MG652329,A-JX185761,A-KJ919638,A-LC172601,A-LC172588,A-HM773681,A-HM773670,A-MT633446,A-MT633444,A-JX027953,A-JX027940,A-KP007147,A-KF371691,A-JQ069692,A-JQ069688,A-JX027865,A-PX211314,A-LC430884,A-LC430883,A-OR205278,A-OR205276,A-KJ919698,A-MH171357,A-PX211248,A-OP850492,A-ON791868,A-OR205289,A-MG652342,A-MN478658
B-KX362878,98.05,98.09,98.35,98.31,97.96,98.13,98.26,98.52,98.70,97.87,97.87,97.96,99.35,99.44,99.44,99.31,99.57,99.44,99.52,99.48,99.61,99.52,99.65,99.74,,99.74,99.61,99.57,99.57,99.74,99.83,99.78,98.07,98.65,98.83,98.91,98.91,98.91,98.91,98.96,98.87,98.87,98.83,99.04,99.04,99.00,99.00,99.04,99.04,99.04,98.25,98.31,98.35,98.39,98.39,98.39,98.52,98.52,98.25,98.87,98.87,98.78,98.70,98.83,98.87,98.78,98.78,98.76,98.82,98.78,98.83,98.83,98.83,98.87,98.78,98.74,98.98,99.04,99.00,99.04,99.04,99.04,99.09,99.13,99.13,99.09,99.04,95.22,94.92,97.52,97.48,96.01,96.18,95.87,96.14,96.01,96.92,96.92,97.31,97.31,96.70,96.92,97.09,97.05,96.96,97.18,96.96,97.05,96.77,95.35,96.53,96.44,96.48,96.44,96.83,96.48,95.70,96.27,96.44,96.79,96.35,96.70
B-LC086750,98.13,98.18,98.44,98.39,98.05,98.22,98.35,98.61,98.78,97.96,97.96,98.05,99.35,99.52,99.44,99.31,99.48,99.52,99.61,99.48,99.61,99.52,99.65,99.74,99.74,,99.70,99.65,99.65,99.74,99.83,99.78,98.12,98.74,98.91,99.00,99.00,99.00,99.00,99.04,98.96,98.96,98.91,99.13,99.13,99.09,99.09,99.13,99.13,99.13,98.30,98.39,98.44,98.48,98.48,98.48,98.61,98.61,98.30,98.96,98.96,98.87,98.78,98.91,98.96,98.87,98.87,98.85,98.91,98.87,98.91,98.91,98.91,98.96,98.87,98.74,99.07,99.13,99.09,99.13,99.13,99.13,99.17,99.22,99.22,99.17,99.13,95.31,94.83,97.52,97.48,96.09,96.27,95.96,96.22,96.09,96.83,96.83,97.31,97.31,96.70,96.92,97.09,97.05,96.96,97.18,96.96,97.05,96.85,95.40,96.53,96.44,96.57,96.61,96.92,96.57,95.75,96.35,96.53,96.87,96.44,96.79
B-LC169965,98.09,98.05,98.31,98.26,97.92,98.09,98.22,98.48,98.65,97.83,97.83,97.92,99.22,99.39,99.39,99.26,99.35,99.39,99.48,99.44,99.48,99.48,99.61,99.70,99.61,99.70,,99.96,99.96,99.87,99.78,99.74,97.91,98.70,98.78,98.87,98.87,98.87,98.87,98.91,98.83,98.83,98.78,99.00,99.00,98.96,98.96,99.00,99.00,99.00,98.09,98.26,98.31,98.35,98.35,98.35,98.48,98.48,98.09,98.83,98.83,98.74,98.65,98.78,98.83,98.74,98.74,98.72,98.78,98.74,98.78,98.78,98.78,98.83,98.74,98.61,98.94,99.00,98.96,99.00,99.00,99.00,99.04,99.09,99.09,99.04,99.00,95.18,94.62,97.48,97.44,95.96,96.14,95.83,96.09,95.96,96.79,96.79,97.18,97.18,96.57,96.79,96.96,96.92,96.83,97.05,96.83,96.92,96.72,95.19,96.40,96.31,96.44,96.48,96.79,96.44,95.55,96.22,96.40,96.74,96.31,96.66
B-LC169954,98.05,98.00,98.26,98.22,97.87,98.05,98.18,98.44,98.61,97.79,97.79,97.87,99.17,99.35,99.35,99.22,99.31,99.35,99.44,99.39,99.44,99.44,99.57,99.65,99.57,99.65,99.96,,100.00,99.83,99.74,99.70,97.86,98.65,98.74,98.83,98.83,98.83,98.83,98.87,98.78,98.78,98.74,98.96,98.96,98.91,98.91,98.96,98.96,98.96,98.04,98.22,98.26,98.31,98.31,98.31,98.44,98.44,98.04,98.78,98.78,98.70,98.61,98.74,98.78,98.70,98.70,98.68,98.74,98.70,98.74,98.74,98.74,98.78,98.70,98.57,98.89,98.96,98.91,98.96,98.96,98.96,99.00,99.04,99.04,99.00,98.96,95.14,94.57,97.44,97.39,95.92,96.09,95.79,96.05,95.92,96.74,96.74,97.13,97.13,96.57,96.74,96.92,96.87,96.79,97.00,96.79,96.87,96.77,95.25,96.44,96.35,96.48,96.53,96.83,96.48,95.60,96.27,96.44,96.79,96.35,96.70
B-LC169943,98.05,98.00,98.26,98.22,97.87,98.05,98.18,98.44,98.61,97.79,97.79,97.87,99.17,99.35,99.35,99.22,99.31,99.35,99.44,99.39,99.44,99.44,99.57,99.65,99.57,99.65,99.96,100.00,,99.83,99.74,99.70,97.86,98.65,98.74,98.83,98.83,98.83,98.83,98.87,98.78,98.78,98.74,98.96,98.96,98.91,98.91,98.96,98.96,98.96,98.04,98.22,98.26,98.31,98.31,98.31,98.44,98.44,98.04,98.78,98.78,98.70,98.61,98.74,98.78,98.70,98.70,98.68,98.74,98.70,98.74,98.74,98.74,98.78,98.70,98.57,98.89,98.96,98.91,98.96,98.96,98.96,99.00,99.04,99.04,99.00,98.96,95.14,94.57,97.44,97.39,95.92,96.09,95.79,96.05,95.92,96.74,96.74,97.13,97.13,96.57,96.74,96.92,96.87,96.79,97.00,96.79,96.87,96.77,95.25,96.44,96.35,96.48,96.53,96.83,96.48,95.60,96.27,96.44,96.79,96.35,96.70
B-LC086739,98.05,98.09,98.35,98.31,97.96,98.13,98.26,98.52,98.70,97.87,97.87,97.96,99.35,99.44,99.52,99.39,99.48,99.44,99.52,99.57,99.61,99.61,99.74,99.83,99.74,99.74,99.87,99.83,99.83,,99.91,99.87,98.01,98.65,98.83,98.91,98.91,98.91,98.91,98.96,98.87,98.87,98.83,99.04,99.04,99.00,99.00,99.04,99.04,99.04,98.20,98.31,98.35,98.39,98.39,98.39,98.52,98.52,98.20,98.87,98.87,98.78,98.70,98.83,98.87,98.78,98.78,98.76,98.82,98.78,98.83,98.83,98.83,98.87,98.78,98.65,98.98,99.04,99.00,99.04,99.04,99.04,99.09,99.13,99.13,99.09,99.04,95.22,94.66,97.52,97.48,96.01,96.18,95.87,96.14,96.01,96.83,96.83,97.22,97.22,96.61,96.83,97.00,96.96,96.87,97.09,96.87,96.96,96.77,95.30,96.53,96.44,96.48,96.44,96.83,96.48,95.65,96.27,96.44,96.79,96.35,96.70
B-LC066664,98.13,98.18,98.44,98.39,98.05,98.22,98.35,98.61,98.78,97.96,97.96,98.05,99.44,99.52,99.61,99.48,99.57,99.52,99.61,99.65,99.70,99.70,99.83,99.83,99.83,99.83,99.78,99.74,99.74,99.91,,99.96,98.12,98.74,98.91,99.00,99.00,99.00,99.00,99.04,98.96,98.96,98.91,99.13,99.13,99.09,99.09,99.13,99.13,99.13,98.30,98.39,98.44,98.48,98.48,98.48,98.61,98.61,98.30,98.96,98.96,98.87,98.78,98.91,98.96,98.87,98.87,98.85,98.91,98.87,98.91,98.91,98.91,98.96,98.87,98.74,99.07,99.13,99.09,99.13,99.13,99.13,99.17,99.22,99.22,99.17,99.13,95.31,94.75,97.52,97.48,96.09,96.27,95.96,96.22,96.09,96.92,96.92,97.31,97.31,96.70,96.92,97.09,97.05,96.96,97.18,96.96,97.05,96.85,95.40,96.61,96.53,96.57,96.53,96.92,96.57,95.75,96.35,96.53,96.87,96.44,96.79
B-LC066653,98.09,98.13,98.39,98.35,98.00,98.18,98.31,98.57,98.74,97.92,97.92,98.00,99.39,99.48,99.57,99.44,99.52,99.48,99.57,99.61,99.65,99.65,99.78,99.78,99.78,99.78,99.74,99.70,99.70,99.87,99.96,,98.07,98.70,98.87,98.96,98.96,98.96,98.96,99.00,98.91,98.91,98.87,99.09,99.09,99.04,99.04,99.09,99.09,99.09,98.25,98.35,98.39,98.44,98.44,98.44,98.57,98.57,98.25,98.91,98.91,98.83,98.74,98.87,98.91,98.83,98.83,98.81,98.87,98.83,98.87,98.87,98.87,98.91,98.83,98.70,99.02,99.09,99.04,99.09,99.09,99.09,99.13,99.17,99.17,99.13,99.09,95.27,94.70,97.48,97.44,96.05,96.22,95.92,96.18,96.05,96.87,96.87,97.26,97.26,96.66,96.87,97.05,97.00,96.92,97.13,96.92,97.00,96.81,95.35,96.57,96.48,96.53,96.48,96.87,96.53,95.70,96.31,96.48,96.83,96.40,96.74
B-PX211305,96.97,96.97,97.18,97.13,97.02,97.02,97.18,97.60,97.60,96.87,96.87,97.02,97.75,98.22,97.86,97.81,97.81,98.07,98.28,97.75,97.96,97.86,97.96,98.07,98.07,98.12,97.91,97.86,97.86,98.01,98.12,98.07,,98.17,98.28,98.33,98.33,98.33,98.33,98.38,98.38,98.38,98.33,98.59,98.59,98.54,98.54,98.59,98.59,98.59,98.67,98.17,98.17,98.17,98.17,98.17,98.28,98.33,98.98,98.38,98.43,98.38,98.17,98.38,98.43,98.22,98.33,98.35,98.38,98.43,98.43,98.43,98.43,98.48,98.38,98.28,98.62,98.59,98.69,98.64,98.59,98.64,98.64,98.69,98.69,98.64,98.59,94.04,93.63,96.29,96.24,95.04,95.19,94.83,95.09,94.93,95.56,95.56,96.13,96.13,95.35,95.66,95.87,95.87,95.61,95.87,95.72,95.77,95.69,95.72,95.40,95.30,95.45,95.45,96.03,95.56,96.04,95.19,95.56,95.87,95.40,95.77
B-MH704725,97.66,97.57,97.79,97.66,97.48,97.66,97.79,97.87,98.13,97.39,97.39,97.48,98.52,98.87,98.44,98.39,98.48,98.70,99.04,98.39,98.61,98.44,98.57,98.65,98.65,98.74,98.70,98.65,98.65,98.65,98.74,98.70,98.17,,99.31,99.39,99.39,99.39,99.39,99.44,99.78,99.78,99.74,99.61,99.61,99.57,99.57,99.61,99.61,99.61,98.41,98.61,98.65,98.70,98.70,98.70,98.83,98.83,98.41,99.17,99.09,99.09,98.96,99.13,99.17,99.00,99.09,99.07,99.09,99.09,99.13,99.13,99.13,99.17,99.09,99.04,99.24,99.26,99.31,99.35,99.35,99.35,99.39,99.44,99.44,99.39,99.35,95.18,94.40,97.00,96.96,95.70,95.87,95.57,95.83,95.70,96.22,96.22,96.70,96.70,96.09,96.31,96.48,96.53,96.44,96.57,96.35,96.44,96.50,94.83,96.05,95.96,96.27,96.31,96.44,96.09,95.18,95.79,96.14,96.40,95.96,96.31
B-LC325461,97.74,97.70,98.05,97.83,97.74,97.83,97.96,98.05,98.31,97.48,97.48,97.57,98.61,99.04,98.61,98.57,98.57,98.87,99.13,98.57,98.78,98.61,98.74,98.83,98.83,98.91,98.78,98.74,98.74,98.83,98.91,98.87,98.28,99.31,,99.48,99.48,99.48,99.48,99.52,99.52,99.52,99.48,99.70,99.70,99.65,99.65,99.70,99.70,99.70,98.41,98.61,98.65,98.70,98.70,98.70,98.83,98.83,98.62,99.17,99.17,99.17,99.04,99.22,99.26,99.09,99.17,99.15,99.17,99.17,99.22,99.22,99.22,99.26,99.17,99.04,99.33,99.35,99.39,99.44,99.44,99.44,99.48,99.52,99.52,99.48,99.44,95.31,94.44,97.13,97.09,95.87,96.05,95.74,96.01,95.87,96.40,96.40,96.87,96.87,96.27,96.48,96.70,96.74,96.53,96.74,96.53,96.61,96.50,94.83,96.14,96.05,96.27,96.22,96.53,96.18,95.18,95.96,96.22,96.48,96.05,96.40
B-LC260222,97.83,97.79,98.05,97.92,97.83,97.92,98.05,98.13,98.39,97.57,97.57,97.66,98.70,99.13,98.70,98.65,98.65,98.96,99.22,98.65,98.87,98.70,98.83,98.91,98.91,99.00,98.87,98.83,98.83,98.91,99.00,98.96,98.33,99.39,99.48,,100.00,99.57,99.57,99.61,99.61,99.61,99.57,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.46,98.70,98.74,98.78,98.78,98.78,98.91,98.91,98.56,99.26,99.26,99.26,99.17,99.31,99.35,99.17,99.26,99.24,99.26,99.26,99.31,99.31,99.31,99.35,99.26,99.22,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.27,94.44,97.22,97.09,95.87,96.05,95.74,96.01,95.87,96.48,96.48,97.05,97.05,96.44,96.57,96.74,96.79,96.61,96.83,96.61,96.70,96.68,95.09,96.31,96.22,96.44,96.40,96.70,96.35,95.47,96.05,96.40,96.66,96.22,96.57
B-KX880426,97.83,97.79,98.05,97.92,97.83,97.92,98.05,98.13,98.39,97.57,97.57,97.66,98.70,99.13,98.70,98.65,98.65,98.96,99.22,98.65,98.87,98.70,98.83,98.91,98.91,99.00,98.87,98.83,98.83,98.91,99.00,98.96,98.33,99.39,99.48,100.00,,99.57,99.57,99.61,99.61,99.61,99.57,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.46,98.70,98.74,98.78,98.78,98.78,98.91,98.91,98.56,99.26,99.26,99.26,99.17,99.31,99.35,99.17,99.26,99.24,99.26,99.26,99.31,99.31,99.31,99.35,99.26,99.22,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.27,94.44,97.22,97.09,95.87,96.05,95.74,96.01,95.87,96.48,96.48,97.05,97.05,96.44,96.57,96.74,96.79,96.61,96.83,96.61,96.70,96.68,95.09,96.31,96.22,96.44,96.40,96.70,96.35,95.47,96.05,96.40,96.66,96.22,96.57
B-MG652356,97.83,97.79,98.05,97.92,97.66,97.83,97.96,98.13,98.39,97.57,97.57,97.66,98.70,99.13,98.70,98.57,98.65,98.96,99.22,98.65,98.87,98.70,98.83,98.91,98.91,99.00,98.87,98.83,98.83,98.91,99.00,98.96,98.33,99.39,99.48,99.57,99.57,,99.91,99.96,99.61,99.61,99.57,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.46,98.70,98.74,98.78,98.78,98.78,98.91,98.91,98.56,99.26,99.26,99.26,99.13,99.31,99.35,99.17,99.26,99.24,99.26,99.26,99.31,99.31,99.31,99.35,99.26,99.13,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.31,94.44,97.13,97.09,95.79,95.96,95.66,95.92,95.79,96.48,96.48,96.96,96.96,96.35,96.57,96.74,96.79,96.61,96.83,96.61,96.70,96.50,94.98,96.22,96.14,96.35,96.31,96.61,96.27,95.34,95.96,96.31,96.57,96.14,96.48
B-MG652352,97.92,97.87,98.13,98.00,97.74,97.92,98.05,98.13,98.39,97.57,97.57,97.66,98.70,99.13,98.70,98.57,98.65,98.96,99.22,98.65,98.87,98.70,98.83,98.91,98.91,99.00,98.87,98.83,98.83,98.91,99.00,98.96,98.33,99.39,99.48,99.57,99.57,99.91,,99.96,99.61,99.61,99.57,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.46,98.70,98.74,98.78,98.78,98.78,98.91,98.91,98.56,99.26,99.26,99.26,99.13,99.31,99.35,99.17,99.26,99.24,99.26,99.26,99.31,99.31,99.31,99.35,99.26,99.13,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.35,94.53,97.22,97.18,95.87,96.05,95.74,96.01,95.87,96.57,96.57,97.05,97.05,96.44,96.66,96.83,96.87,96.70,96.92,96.70,96.79,96.59,95.09,96.31,96.22,96.44,96.40,96.70,96.35,95.44,96.05,96.40,96.66,96.22,96.57
B-MG652355,97.87,97.83,98.09,97.96,97.70,97.87,98.00,98.18,98.44,97.61,97.61,97.70,98.74,99.17,98.74,98.61,98.70,99.00,99.26,98.70,98.91,98.74,98.87,98.96,98.96,99.04,98.91,98.87,98.87,98.96,99.04,99.00,98.38,99.44,99.52,99.61,99.61,99.96,99.96,,99.65,99.65,99.61,99.83,99.83,99.78,99.78,99.83,99.83,99.83,98.51,98.74,98.78,98.83,98.83,98.83,98.96,98.96,98.62,99.31,99.31,99.31,99.17,99.35,99.39,99.22,99.31,99.28,99.30,99.31,99.35,99.35,99.35,99.39,99.31,99.17,99.50,99.52,99.52,99.57,99.57,99.57,99.61,99.65,99.65,99.61,99.57,95.31,94.49,97.18,97.13,95.83,96.01,95.70,95.96,95.83,96.53,96.53,97.00,97.00,96.40,96.61,96.79,96.83,96.66,96.87,96.66,96.74,96.55,95.04,96.27,96.18,96.40,96.35,96.66,96.31,95.39,96.01,96.35,96.61,96.18,96.53
B-LC541983,97.79,97.74,98.00,97.87,97.70,97.87,98.00,98.09,98.35,97.61,97.61,97.70,98.74,99.09,98.65,98.61,98.70,98.91,99.17,98.61,98.83,98.65,98.78,98.87,98.87,98.96,98.83,98.78,98.78,98.87,98.96,98.91,98.38,99.78,99.52,99.61,99.61,99.61,99.61,99.65,,100.00,99.96,99.83,99.83,99.78,99.78,99.83,99.83,99.83,98.62,98.83,98.87,98.91,98.91,98.91,99.04,99.04,98.62,99.31,99.31,99.31,99.17,99.35,99.39,99.22,99.31,99.28,99.30,99.31,99.35,99.35,99.35,99.39,99.31,99.26,99.46,99.48,99.52,99.57,99.57,99.57,99.61,99.65,99.65,99.61,99.57,95.27,94.57,97.18,97.13,95.92,96.09,95.79,96.05,95.92,96.44,96.44,96.92,96.92,96.31,96.53,96.70,96.74,96.66,96.79,96.57,96.66,96.63,95.04,96.27,96.18,96.48,96.44,96.66,96.31,95.39,96.01,96.35,96.61,96.18,96.53
B-LC228329,97.79,97.74,98.00,97.87,97.70,97.87,98.00,98.09,98.35,97.61,97.61,97.70,98.74,99.09,98.65,98.61,98.70,98.91,99.17,98.61,98.83,98.65,98.78,98.87,98.87,98.96,98.83,98.78,98.78,98.87,98.96,98.91,98.38,99.78,99.52,99.61,99.61,99.61,99.61,99.65,100.00,,99.96,99.83,99.83,99.78,99.78,99.83,99.83,99.83,98.62,98.83,98.87,98.91,98.91,98.91,99.04,99.04,98.62,99.31,99.31,99.31,99.17,99.35,99.39,99.22,99.31,99.28,99.30,99.31,99.35,99.35,99.35,99.39,99.31,99.26,99.46,99.48,99.52,99.57,99.57,99.57,99.61,99.65,99.65,99.61,99.57,95.27,94.57,97.18,97.13,95.92,96.09,95.79,96.05,95.92,96.44,96.44,96.92,96.92,96.31,96.53,96.70,96.74,96.66,96.79,96.57,96.66,96.63,95.04,96.27,96.18,96.48,96.44,96.66,96.31,95.39,96.01,96.35,96.61,96.18,96.53
B-LC228318,97.74,97.70,97.96,97.83,97.66,97.83,97.96,98.05,98.31,97.57,97.57,97.66,98.70,99.04,98.61,98.57,98.65,98.87,99.13,98.57,98.78,98.61,98.74,98.83,98.83,98.91,98.78,98.74,98.74,98.83,98.91,98.87,98.33,99.74,99.48,99.57,99.57,99.57,99.57,99.61,99.96,99.96,,99.78,99.78,99.74,99.74,99.78,99.78,99.78,98.57,98.78,98.83,98.87,98.87,98.87,99.00,99.00,98.56,99.26,99.26,99.26,99.13,99.31,99.35,99.17,99.26,99.24,99.26,99.26,99.31,99.31,99.31,99.35,99.26,99.22,99.41,99.44,99.48,99.52,99.52,99.52,99.57,99.61,99.61,99.57,99.52,95.22,94.53,97.13,97.09,95.87,96.05,95.74,96.01,95.87,96.40,96.40,96.87,96.87,96.27,96.48,96.66,96.70,96.61,96.74,96.53,96.61,96.59,94.98,96.22,96.14,96.44,96.40,96.61,96.27,95.34,95.96,96.31,96.57,96.14,96.48
B-KU059791,97.96,97.92,98.18,98.05,97.87,98.05,98.18,98.26,98.52,97.70,97.70,97.79,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.61,99.70,99.78,99.78,99.78,99.78,99.83,99.83,99.83,99.78,,100.00,99.96,99.96,100.00,100.00,100.00,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.74,99.74,99.74,99.78,99.83,99.83,99.78,99.74,95.40,94.57,97.26,97.22,96.01,96.18,95.87,96.14,96.01,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.14,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-KU059769,97.96,97.92,98.18,98.05,97.87,98.05,98.18,98.26,98.52,97.70,97.70,97.79,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.61,99.70,99.78,99.78,99.78,99.78,99.83,99.83,99.83,99.78,100.00,,99.96,99.96,100.00,100.00,100.00,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.74,99.74,99.74,99.78,99.83,99.83,99.78,99.74,95.40,94.57,97.26,97.22,96.01,96.18,95.87,96.14,96.01,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.14,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-KU059780,97.92,97.87,98.13,98.00,97.83,98.00,98.13,98.22,98.48,97.66,97.66,97.74,98.78,99.22,98.78,98.74,98.74,99.04,99.31,98.83,98.96,98.78,98.91,99.00,99.00,99.09,98.96,98.91,98.91,99.00,99.09,99.04,98.54,99.57,99.65,99.74,99.74,99.74,99.74,99.78,99.78,99.78,99.74,99.96,99.96,,99.91,99.96,99.96,99.96,98.67,98.87,98.91,98.96,98.96,98.96,99.09,99.09,98.77,99.44,99.44,99.44,99.31,99.48,99.52,99.35,99.44,99.41,99.43,99.44,99.48,99.48,99.48,99.52,99.44,99.31,99.59,99.61,99.65,99.70,99.70,99.70,99.74,99.78,99.78,99.74,99.70,95.35,94.62,97.22,97.18,96.05,96.22,95.92,96.18,96.05,96.66,96.66,97.13,97.13,96.44,96.66,96.83,96.87,96.70,96.92,96.70,96.79,96.68,95.09,96.31,96.22,96.44,96.40,96.70,96.35,95.44,96.05,96.40,96.66,96.31,96.57
B-MG652348,97.92,97.87,98.13,98.00,97.83,98.00,98.13,98.22,98.48,97.66,97.66,97.74,98.78,99.22,98.78,98.74,98.74,99.04,99.31,98.74,98.96,98.78,98.91,99.00,99.00,99.09,98.96,98.91,98.91,99.00,99.09,99.04,98.54,99.57,99.65,99.74,99.74,99.74,99.74,99.78,99.78,99.78,99.74,99.96,99.96,99.91,,99.96,99.96,99.96,98.67,98.87,98.91,98.96,98.96,98.96,99.09,99.09,98.77,99.44,99.44,99.44,99.31,99.48,99.52,99.35,99.44,99.41,99.43,99.44,99.48,99.48,99.48,99.52,99.44,99.31,99.59,99.61,99.65,99.70,99.70,99.70,99.74,99.78,99.78,99.74,99.70,95.35,94.53,97.22,97.18,95.96,96.14,95.83,96.09,95.96,96.57,96.57,97.05,97.05,96.44,96.66,96.83,96.87,96.70,96.92,96.70,96.79,96.68,95.09,96.31,96.22,96.44,96.40,96.70,96.35,95.44,96.05,96.40,96.66,96.22,96.57
B-MG652339,97.96,97.92,98.18,98.05,97.87,98.05,98.18,98.26,98.52,97.70,97.70,97.79,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.61,99.70,99.78,99.78,99.78,99.78,99.83,99.83,99.83,99.78,100.00,100.00,99.96,99.96,,100.00,100.00,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.74,99.74,99.74,99.78,99.83,99.83,99.78,99.74,95.40,94.57,97.26,97.22,96.01,96.18,95.87,96.14,96.01,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.14,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-LC086728,97.96,97.92,98.18,98.05,97.87,98.05,98.18,98.26,98.52,97.70,97.70,97.79,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.61,99.70,99.78,99.78,99.78,99.78,99.83,99.83,99.83,99.78,100.00,100.00,99.96,99.96,100.00,,100.00,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.74,99.74,99.74,99.78,99.83,99.83,99.78,99.74,95.40,94.57,97.26,97.22,96.01,96.18,95.87,96.14,96.01,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.14,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
B-LC086717,97.96,97.92,98.18,98.05,97.87,98.05,98.18,98.26,98.52,97.70,97.70,97.79,98.83,99.26,98.83,98.78,98.78,99.09,99.35,98.78,99.00,98.83,98.96,99.04,99.04,99.13,99.00,98.96,98.96,99.04,99.13,99.09,98.59,99.61,99.70,99.78,99.78,99.78,99.78,99.83,99.83,99.83,99.78,100.00,100.00,99.96,99.96,100.00,100.00,,98.72,98.91,98.96,99.00,99.00,99.00,99.13,99.13,98.82,99.48,99.48,99.48,99.35,99.52,99.57,99.39,99.48,99.46,99.48,99.48,99.52,99.52,99.52,99.57,99.48,99.35,99.63,99.65,99.70,99.74,99.74,99.74,99.78,99.83,99.83,99.78,99.74,95.40,94.57,97.26,97.22,96.01,96.18,95.87,96.14,96.01,96.61,96.61,97.09,97.09,96.48,96.70,96.87,96.92,96.74,96.96,96.74,96.83,96.72,95.14,96.35,96.27,96.48,96.44,96.74,96.40,95.49,96.09,96.44,96.70,96.27,96.61
